#key,title,length                                                                                                                                                                                                                                                                                                     
conf/konvens/1992,"KONVENS 92, 1. Konferenz ""Verarbeitung natürlicher Sprache"", Nürnberg, Germany, 7.-9. Oktober 1992",98                                                                                                                                                                                           
conf/trec/1993,"Proceedings of The Second Text REtrieval Conference, TREC 1993, Gaithersburg, Maryland, USA, August 31 - September 2, 1993",122                                                                                                                                                                       
conf/egve/2006,"Proceedings of the 12th Eurographics Symposium on Virtual Environments, EGVE 2006, Lisbon, Portugal, 2006.",106                                                                                                                                                                                       
conf/iva/2005,"Intelligent Virtual Agents, 5th International Working Conference, IVA 2005, Kos, Greece, September 12-14, 2005, Proceedings",123                                                                                                                                                                       
conf/innovations/2014,"Innovations in Theoretical Computer Science, ITCS'14, Princeton, NJ, USA, January 12-14, 2014",93                                                                                                                                                                                              
conf/psc/1992,"Parallel Symbolic Computing: Languages, Systems, and Applications, US/Japan Workshop, Cambridge, MA, USA, October 14-17, 1992, Proceedings",138                                                                                                                                                        
conf/middleware/2004w2,"Proceedings of the 3rd Workshop on Adaptive and Reflective Middleware, ARM 2003, Toronto, Ontario, Canada, October 19, 2004",123                                                                                                                                                              
conf/middleware/2015,"Proceedings of the 16th Annual Middleware Conference, Vancouver, BC, Canada, December 07 - 11, 2015",99                                                                                                                                                                                         
conf/csa/2005,"The IASTED International Conference on Communication Systems and Applications, Banff, Alberta, Canada, July 19-21, 2005",119                                                                                                                                                                           
conf/dawak/2014,"Data Warehousing and Knowledge Discovery - 16th International Conference, DaWaK 2014, Munich, Germany, September 2-4, 2014. Proceedings",135                                                                                                                                                         
conf/qosa/2006,"Quality of Software Architectures, Second International Conference on Quality of Software Architectures, QoSA 2006, Västerås, Sweden, June 27-29, 2006 Revised Papers",165                                                                                                                            
conf/conext/2013sw,"Proceedings of the 2013 workshop on Student workhop, CoNEXT Student Workhop '13, Santa Barbara, California, USA, December 9, 2013",129                                                                                                                                                            
conf/icgi/2016,"Proceedings of the 13th International Conference on Grammatical Inference, ICGI 2016, Delft, The Netherlands, October 5-7, 2016",127                                                                                                                                                                  
conf/ccs/2010aisec,"Proceedings of the 3rd ACM Workshop on Security and Artificial Intelligence, AISec 2010, Chicago, Illinois, USA, October 8, 2010",128                                                                                                                                                             
conf/socpar/2014,"6th International Conference of Soft Computing and Pattern Recognition, SoCPaR 2014, Tunis, Tunisia, August 11-14, 2014",119                                                                                                                                                                        
conf/dils/2010,"Data Integration in the Life Sciences, 7th International Conference, DILS 2010, Gothenburg, Sweden, August 25-27, 2010. Proceedings",131                                                                                                                                                              
conf/concur/1996,"CONCUR '96, Concurrency Theory, 7th International Conference, Pisa, Italy, August 26-29, 1996, Proceedings",106                                                                                                                                                                                     
conf/icse/2016formalise,"Proceedings of the 4th FME Workshop on Formal Methods in Software Engineering, FormaliSE@ICSE 2016, Austin, Texas, USA, May 15, 2016",132                                                                                                                                                    
conf/iucs/2009,"Proceedings of the 3rd International Universal Communication Symposium, IUCS 2009, Tokyo, Japan, 3-4 December 2009",114                                                                                                                                                                               
conf/icpp/1989-1,"Proceedings of the International Conference on Parallel Processing, ICPP '89, The Pennsylvania State University, University Park, PA, USA, August 1989. Volume 1: Architecture.",175                                                                                                                
conf/ches/1999,"Cryptographic Hardware and Embedded Systems, First International Workshop, CHES'99, Worcester, MA, USA, August 12-13, 1999, Proceedings",135                                                                                                                                                          
conf/slp/1994w2,"ILPS 1994, Workshop 2: Constraints and Databases, Ithaca, New York, USA, November 17, 1994",90                                                                                                                                                                                                       
conf/infoscale/2008,"3rd International ICST Conference on Scalable Information Systems, INFOSCALE 2008, Vico Equense, Italy, June 4-6, 2008",118                                                                                                                                                                      
conf/hais/2015,"Hybrid Artificial Intelligent Systems - 10th International Conference, HAIS 2015, Bilbao, Spain, June 22-24, 2015, Proceedings",126                                                                                                                                                                   
conf/mmns/2005,"Management of Multimedia Networks and Services, 8th International Conference on Management of Multimedia Networks and Services, MMNS 2005, Barcelona, Spain, October 24-26, 2005, Proceedings",189                                                                                                    
conf/icinco/2011-2,"ICINCO 2011 - Proceedings of the 8th International Conference on Informatics in Control, Automation and Robotics, Volume 2, Noordwijkerhout, The Netherlands, 28 - 31 July, 2011",176                                                                                                             
conf/bpm/2012k,"Process Support and Knowledge Representation in Health Care - BPM 2012 Joint Workshop, ProHealth 2012/KR4HC 2012, Tallinn, Estonia, September 3, 2012, Revised Selected Papers",174                                                                                                                   
conf/itbam/2017,"Information Technology in Bio- and Medical Informatics - 8th International Conference, ITBAM 2017, Lyon, France, August 28-31, 2017, Proceedings",144                                                                                                                                                
conf/fgr/2006,"Seventh IEEE International Conference on Automatic Face and Gesture Recognition (FG 2006), 10-12 April 2006, Southampton, UK",124                                                                                                                                                                      
conf/atal/2008coin,"Coordination, Organizations, Institutions and Norms in Agent Systems IV, COIN 2008 International Workshops, COIN@AAMAS 2008, Estoril, Portugal, May 12, 2008. COIN@AAAI 2008, Chicago, USA, July 14, 2008. Revised Selected Papers",226                                                           
conf/ibpria/2003,"Pattern Recognition and Image Analysis, First Iberian Conference, IbPRIA 2003, Puerto de Andratx, Mallorca, Spain, June 4-6, 2003, Proceedings",142                                                                                                                                                 
conf/csreaSAM/2004,"Proceedings of the International Conference on Security and Management, SAM '04, June 21-24, 2004, Las Vegas, Nevada, USA",121                                                                                                                                                                    
conf/mwe/2011,"Proceedings of the Workshop on Multiword Expressions: from Parsing and Generation to the Real World, MWE@ACL 2011, Portland, Oregon, USA, June 23, 2011",151                                                                                                                                           
